terremoto	scossa	3
patrimonio	azione	0
ebreo	Gerusalemme	2
nuvolosità	previsione	2.5
dizionario	enciclopedia	3.2
zecca	museo	1.2
sedia	sgabello	3.5
spagnolo	umidità	0
lattina	bottiglia	3
mosca	formica	3
mito	satira	0
centro della città	autobus	1
coda	Boeing 747-200	2
opera d'arte	artista	3.5
NATO	alleanza	3
re	sovrano	4
ritmo	cadenza	3.8
Alexander Fleming	penicillina	2.5
flauto	musica	2
airone cenerino	lago	2.3
viscosità	spruzzo	0
hardware	case	2
anello	fidanzamento	2
latino	tedesco	3
classe operaia	fabbrica	2.6
Shakespeare	Dickens	3
banconota	prete	0
strumento	lavoro	1
cinghiale nano	suidi	3
suffragio	uscita	0
stella	luminosità	2
trota	chitarra	0
dollaro	milionario	2.7
cifra	numero	4
burrasca	coperta	2
Obama	Clinton	3
personaggio secondario	film	2.5
Juventus	Bayern Monaco	3
cambiamento climatico	precipitazione	2.8
IA	batteria	0.5
capolavoro	Gioconda	1
crimine	aggressione	2.8
incoronazione	acqua	0
vocalista	pentagramma	1
spareggio	pallacanestro	1.8
forze armate	difesa	2.5
lago	nuvola	0.8
monastero	doccia	0
lingua madre	lingua	3.9
porto	incarto	0