terremoto	scossa	bn:00029448n	bn:00029441n	sisma,terremoto,scossa tellurica	scossa,microsisma,microsismo
patrimonio	azione	bn:00009815n	bn:00025804n	bene,beni,capitale	atto,rogito,deed
ebreo	gerusalemme	bn:00043492n	bn:00015555n	ebreo,giudeo,israelita	gerico,gerusalemme,aelia capitolina
nuvolosità	previsione	bn:00020002n	bn:00035806n	nube,nuvola,nembo	predizione,previsione,profezia
dizionario	enciclopedia	bn:00026967n	bn:00024746n	calepino,dizionario,vocabolario	enciclopedia,enciclopedia multilingue,encyclopædia
zecca	museo	bn:03025746n	bn:00056426n	zecca di venezia,palazzo della zecca,zecca (venezia)	museo,polo museale,museo di storia
sedia	sgabello	bn:00017515n	bn:00074427n	sedia,seggiola,gamba della sedia	panchetto,sgabello
spagnolo	umidità	bn:03187006n	bn:00055529n	vino spagnolo,spagna,spagnolo	umidità,vapore condensato,bagnato
lattina	bottiglia	bn:00072586n	bn:00012339n	lattina di bibita,lattina per bibita,lattina per bibite	bottiglia,bottiglie,chiantigiana
mosca	formica	bn:00045007n	bn:00004458n	mosca domestica,musca domestica,mosca	formica,formicidae,formica (araldica)
mito	satira	bn:00056669n	bn:00013998n	mito,miti,racconti mitologici	parodia,parodie,pasquino
centro della città	autobus	None	None	None	None
coda	boeing 747-200	bn:00030590n	bn:03226093n	impennaggio,impennaggi,impennaggio di coda	boeing 747,747-200,747-200b
opera d'arte	artista	bn:00081581n	bn:00006182n	opera d'arte,oggetti d'arte,opere d'arte	artista,artisti,persona creativa
nato	alleanza	bn:00056978n	bn:03544293n	nato,north atlantic treaty organization (organizzazione del trattato nord atlantico),n.a.t.o.	alleanza,alleato
re	sovrano	bn:00024097n	bn:00024097n	monarca,re,regnante	monarca,re,regnante
ritmo	cadenza	bn:00009396n	bn:00051209n	ritmo,battere,levare	swing,swing (musica),shuffle notes
alexander fleming	penicillina	bn:00002616n	bn:00061363n	alexander fleming,alessandro fleming,sir alexander fleming	penicillina,beta lattamine,penicilline
flauto	musica	bn:00035127n	bn:00021408n	auleta,aulete,flautista	componimento,componimento musicale,composizione
airone cenerino	lago	bn:16449236n	bn:00051763n	ardea cinerea,airone cenerino,airone cinerino	laghi,lago,lochan
viscosità	spruzzo	bn:00080092n	bn:00073618n	vischiosità,viscosità,coefficiente di scambio di quantità di moto	spruzzata,spruzzo
hardware	case	bn:00021480n	bn:00262368n	hardware,materiale informatico,apparecchiature hardware	case (hardware),case,chassis
anello	fidanzamento	bn:00008287n	bn:00010152n	anello,anello (gioiello),anello dito	fidanzamento,promessa di matrimonio,fidanzato
latino	tedesco	bn:00050161n	bn:00040293n	latino,lingua latina,latinista	tedesco,lingua alto-tedesca,lingua tedesca
classe operaia	fabbrica	bn:00049570n	bn:00032675n	classe lavoratrice,popolo,proletariato	fabbrica,manifattura,opificio
shakespeare	dickens	bn:00008556n	bn:00017842n	shakespeare,william shakespeare,guglielmo shakespeare	charles dickens,charles john huffam dickens,dickens
banconota	prete	bn:00008375n	bn:01104180n	banconota,biglietto,biglietto di banca	il prete,prete
strumento	lavoro	bn:00046961n	bn:00081569n	strumento,apparecchio,congegno	lavoro,lavoro (fisica),lavoro isocoro
cinghiale nano	suidi	bn:03100066n	bn:00033468n	sus salvanius,cinghiale nano,maiale pigmeo	suidae,suide,suidi
suffragio	uscita	bn:00008198n	bn:14617569n	suffragio,votazione,voto	uscita
stella	luminosità	bn:00073964n	bn:14292145n	astro,sole,stella	luminosità (astronomia),luminosità,luminosità (fisica)
trota	chitarra	bn:00078435n	bn:00042150n	trota,pesca alla trota	chitarra,chitarra ritmica,chitarra solista
dollaro	milionario	bn:00044648n	bn:00055058n	dollaro,dollaro di hong kong,dollaro hongkonghese	milionario,milionari,multi-milionario
cifra	numero	bn:00058287n	bn:00058287n	cifra,numerale,numero	cifra,numero,numerale
burrasca	coperta	bn:00009425n	bn:00052848n	scala di beaufort,grado beaufort,scala beaufort	coperta,ponte principale,ponte di coperta
obama	clinton	bn:03330021n	bn:00010400n	barack obama,barack hussein obama,barack hussein obama ii	bill clinton,clinton,william jefferson "bill" clinton
personaggio secondario	film	bn:00017746n	bn:03715325n	figura,personaggio,personaggio immaginario	film,show-in-a-show
juventus	bayern monaco	bn:00876765n	bn:00963795n	juventus football club,bianconeri,f.c. juventus	fußball-club bayern münchen,bayern monaco,bayern munich
cambiamento climatico	precipitazione	bn:00019782n	bn:00028483n	cambiamento climatico,cambiamenti climatici,cambiamento climatico brusco	precipitazione,precipitazione (meteorologia),precipitazione atmosferica
ia	batteria	bn:03714194n	bn:00049242n	íþróttabandalag akraness,ia akranes,ía	kit,set,armamentario
capolavoro	gioconda	bn:00018059n	bn:03571983n	capolavoro,opera d'arte	gioconda,'' la gioconda '',la gioconda
crimine	aggressione	bn:00023807n	bn:00006467n	crimine,delitto,misfatto	aggressione,aggressione a mano armata,aggressione criminale
incoronazione	acqua	bn:03161106n	bn:00080561n	pala degli oddi,incoronazione,pala oddi	acqua,acqua (elemento),acqua (elemento classico)
vocalista	pentagramma	None	None	None	None
spareggio	pallacanestro	bn:03528898n	bn:00008889n	spareggio,spareggi,partita di playoff	basket,basketball,cestismo
forze armate	difesa	bn:00005732n	bn:15622439n	esercito,forze armate,forza armata	difesa (politica),difesa,difesa nazionale
lago	nuvola	bn:00049709n	bn:00020002n	lago,bacino lacustre,specchio d'acqua	nube,nuvola,nembo
monastero	doccia	bn:00022329n	bn:00071325n	convento,monastero,comunità conventuale	doccia
lingua madre	lingua	bn:00056969n	bn:00049911n	madrelingua,lingua madre	lingua,linguaggio,parlare
porto	incarto	bn:00022381n	bn:00060120n	traslazione,trasporto,porto	imballaggio,imballo,borra (munizioni)
